Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
yu-jiahua-hongyun-zini-180ml-800,Yu Jiahua Yixing Teapot – 鸿运 – 紫泥 180ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 鸿运</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 180ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，180毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-longdan-zini-270ml-800,Yu Jiahua Yixing Teapot – 龙蛋 – 紫泥 270ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 龙蛋</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 270ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，270毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-biyuhu-zini-260ml-800,Yu Jiahua Yixing Teapot – 璧瑜壶 – 紫泥 260ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 璧瑜壶</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 260ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，260毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-handuo-zini-370ml-800,Yu Jiahua Yixing Teapot – 汉铎 – 紫泥 370ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 汉铎</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 370ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，370毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-huaying-zini-330ml-800,Yu Jiahua Yixing Teapot – 华颖 – 紫泥 330ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 华颖</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 330ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，330毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-jianpiao-zini-160ml-800,Yu Jiahua Yixing Teapot – 简瓢 – 紫泥 160ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 简瓢</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 160ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，160毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-ruding-zini-390ml-800,Yu Jiahua Yixing Teapot – 乳鼎 – 紫泥 390ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 乳鼎</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 390ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，390毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-shipiao-zini-150ml-800,Yu Jiahua Yixing Teapot – 石瓢 – 紫泥 150ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 石瓢</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 150ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，150毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-yuruyi-zini-130ml-800,Yu Jiahua Yixing Teapot – 玉如意 – 紫泥 130ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 玉如意</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 130ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，130毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
yu-jiahua-zhoupan-zini-200ml-800,Yu Jiahua Yixing Teapot – 周盘 – 紫泥 200ml,"<p>Authentic Yixing zisha teapot from Yixing, China.</p><ul><li><strong>Style:</strong> 周盘</li><li><strong>Clay:</strong> 紫泥</li><li><strong>Capacity:</strong> 200ml</li><li><strong>Craft:</strong> Semi-handmade (fine craft) (精工半手)</li><li><strong>Artisan:</strong> Yu Jiahua (郁佳骅)</li><li><strong>Origin:</strong> Yixing, China</li></ul><p>Ships carefully packed from our Yixing warehouse to Hong Kong and worldwide.</p><p>宜兴紫砂壶，郁佳骅制作。紫泥，200毫升，精工半手。宜兴发货。</p>",Yu Jiahua,Teapot,"zisha, yixing, teapot, handmade, Yu Jiahua",TRUE,Title,Default Title,800,shopify,1,deny,manual,880,TRUE,TRUE,,,active
